以下是我现有的因子库，我需要增加一些由国泰君安提出的因子，适用范围是“大盘-小盘”。如果国泰君安新提出的因子已经在表格里出现，但使用机构{1,2,3,4,5}内还没有国泰君安，就在使用机构列里加一个国泰君安，如果已经有国泰君安，就直接更新下一个因子。增加新因子时，需判断其因子类别。我会把这个任务要求和任务内容和你说两遍，方便你再读一遍确认。如果新出现的因子适用范围和原表格不一样，但计算方式一样，或者是同一个因子，就视作是已经出现过相同的因子，同样判断后面使用机构里有没有国泰君安。如果本来表格里有这个指标，但是没有括号里的结果，就在原来的指标后面加上结果，再检查机构名称。

【现有的表格】
适用范围	因子类别	基础数据	因子名称	使用机构1	使用机构2	使用机构3	使用机构4	使用机构5
兼备	宏观经济类	CPI	CPI 当月同比	中银国际	华福证券	长江证券	招证资配	
兼备	宏观经济类	CPI	CPI 美国 彭博宏观一致预期+核心PCE的自回归加权平均（美国CPI同比超于预期或低于预期）	国泰君安	广发证券			
兼备	宏观经济类	CPI	居住CPI	国金证券				
兼备	宏观经济类	CPI/PPI	CPI/PPI剪刀差 一致预期 中国	国泰君安				
兼备	宏观经济类	CPI/PPI	PPI与CPI当月同比剪刀差	中银国际	华福证券			
兼备	宏观经济类	CRB	CRB现货指数	华福证券				
兼备	宏观经济类	FDI	FDI投资金额同比	长江证券				
大盘-小盘	宏观经济类	FDI/ODI	对外直接投资同比	长江证券				
兼备	宏观经济类	GDP	GDP 名义同比	中银国际	华福证券	中银国际		
兼备	宏观经济类	GDP	GDP 实际同比	华福证券	中银国际			
兼备	宏观经济类	GDP	GDP 实际同比 季度	中银国际				
兼备	宏观经济类	M0	M0同比（历史胜率55.95%）	长江证券	招证资配			
兼备	宏观经济类	M1	M1 当月同比（历史胜率55.16%）	中银国际	华福证券	长江证券	招证资配	国联期货
兼备	宏观经济类	M1/M0	M1-M0 当月同比	中银国际				
兼备	宏观经济类	M1/M2	M1-M2剪刀差	中银国际优选	华福证券	长江证券	招证资配	
兼备	宏观经济类	M1/M2	M2-M1 当月同比	中银国际				
兼备	宏观经济类	M1/M2	M2同比-M1同比	华福证券				
兼备	宏观经济类	M2	M2 当月同比	中银国际	华福证券	长江证券	国联期货	
兼备	宏观经济类	M2	M2 一致预期（M2同比超于预期或低于预期）	国泰君安	广发证券			
兼备	宏观经济类	M2	M2同比增速	华福证券	国泰海通	招证资配		
兼备	宏观经济类	M2/GDP	M2-名义GDP	中银国际				
兼备	宏观经济类	M2/社融	M2-社融同比（趋势周期=1月，影响方向=负）	中银国际	广发证券			
兼备	宏观经济类	M2/社融	社融同比/M2同比	国泰君安				
兼备	市场类	MACD	MACD比	中金点睛				
兼备	宏观经济类	NDF溢价	离岸人民币NDF溢价	中金点睛				
兼备	估值类	PB	各自所处绝对估值水平	招证资配				
兼备	估值类	PB	因子相对赔率（PB市净率）	天风金工	华福证券			
兼备	估值类	PE	PE差时序分位数	国金证券				
兼备	宏观经济类	PMI	（PMI-50）-波动率加权的综合通胀	国泰君安				
兼备	宏观经济类	PMI	（PMI库存-50）-（PMI生产-50）	国泰君安				
兼备	宏观经济类	PMI	PMI（制造业PMI）	中银国际	华福证券	中信建投		
兼备	宏观经济类	PMI	PMI (12MA)	中银国际优选				
兼备	宏观经济类	PMI	PMI (3MA)	中银国际优选				
兼备	宏观经济类	PMI	PMI 结合预期（PMI数据处于相对高位（51以上），且超预期）	国泰君安	广发证券			
兼备	宏观经济类	PMI	PMI 美国	国泰君安				
兼备	宏观经济类	PMI	PMI 生产	中银国际				
兼备	宏观经济类	PMI	PMI生产 12个月移动平均值	中银国际				
兼备	宏观经济类	PMI	增长因子：三个PMI的季度变化	天风金工	华福证券			
兼备	宏观经济类	PMI	制造业PMI_订单	长江证券				
兼备	宏观经济类	PMI	制造业PMI_产成品库存	长江证券				
兼备	宏观经济类	PMI	非制造业PMI_建筑业	长江证券				
兼备	宏观经济类	PMI	制造业PMI_供货商配送时间	长江证券				
大盘-小盘	宏观经济类	PMI	制造业PMI_主要原材料购进价格	长江证券				
兼备	宏观经济类	PPI	PPI 当月同比	中银国际	华福证券	招证资配		
兼备	估值类	PS	市销率变化（行业中性化）	国金证券				
兼备	市场类	RSI	RSI差	中金点睛				
兼备	宏观经济类	SHIBOR	SHIBOR利率	国联期货	西南证券			
兼备	资金类	波动率	50ETF期权波动率	华福证券				
兼备	市场类	波动率	3个月波动率比	中金点睛				
兼备	市场类	波动率	指数波动率差值 40交易日年化波动之差	华福证券				
兼备	宏观经济类	波动率	SP500指数VIX	中银国际				
大盘-小盘	宏观经济类	财政	财政支出同比（历史胜率56.53%）	长江证券	招证资配			
兼备	宏观经济类	存款余额	准货币定期存款同比	国金证券				
兼备	宏观经济类	存款余额	存款余额同比	长江证券				
兼备	宏观经济类	存款余额	外汇存款余额同比	长江证券				
兼备	宏观经济类	存款准备金率	大型机构存款准备金率	长江证券				
兼备	宏观经济类	贷款余额	新增中长期人民币贷款TTM同比增速季度变化	天风金工				
兼备	宏观经济类	贷款余额	中长期贷款余额同比	华福证券				
兼备	宏观经济类	贷款余额	贷款余额同比	长江证券				
兼备	宏观经济类	贷款余额	外汇贷款余额同比	长江证券				
兼备	宏观经济类	房地产	房屋竣工面积同比增减	国金证券				
兼备	宏观经济类	负债	负债同比	长江证券				
兼备	宏观经济类	工业增加值	工业增加值同比	中银国际	长江证券			
大盘-小盘	市场类	量价	风格指数3年/5年滚动超额收益	国泰君安				
兼备	宏观经济类	国债收益率	国债到期收益率 十年期	华福证券	中银国际优选	国联期货		
兼备	宏观经济类	国债收益率	国债到期收益率 一年期	国联期货				
兼备	宏观经济类	国债收益率	十年期国债利率	中银国际	长江证券			
兼备	宏观经济类	国债收益率	一年期国债利率	中银国际				
兼备	市场类	换手率	wind全A换手率和近15个交易日均值的差值（夏普比率0.4）	华福证券	兴业证券			
兼备	市场类	换手率	指数换手 指数滚动20交易日换手率均值比	华福证券				
兼备	市场类	换手率	中证全指20日换手率均值	申万宏源				
兼备	宏观经济类	汇率	美元指数收盘价	中银国际	中信建投			
大盘-小盘	宏观经济类	汇率	美元指数（USDX）和90日/120日均线的关系，短期为现值，长期为90日或120日	西南证券				
兼备	宏观经济类	货币供应	货币乘数	长江证券				
兼备	宏观经济类	货币政策	货币因子：货币政策工具的季度变化	天风金工				
兼备	宏观经济类	货运量	铁路货运量	长江证券				
兼备	资金类	基金收益	基金收益差					
兼备	宏观经济类	进出口	进口额同比	国金证券	长江证券			
兼备	宏观经济类	进出口	进出口货运量同比	长江证券				
大盘-小盘	宏观经济类	进出口	出口交货值当月同比	长江证券				
兼备	宏观经济类	经济活动	克强指数	长江证券				
兼备	宏观经济类	跨境结算	跨境人民币业务结算金额	长江证券				
兼备	宏观经济类	利率	银行7天同业拆借利率平均	长江证券				
兼备	宏观经济类	利率	活期存款利率	长江证券				
大盘-小盘	宏观经济类	利率	中长期贷款利率	长江证券				
兼备	资金类	量价	强势股占比	华福证券	招商定量			
兼备	市场类	量价	风格趋势 ICIR	天风金工				
兼备	市场类	量价	价格乖离成交量加权 成分股股价与其30日移动均线距离的偏离程度用成交量加权	华福证券				
兼备	市场类	量价	领涨牵引：成分股中过去20交易日上涨8%的个股交易额占比	华福证券				
兼备	市场类	量价	上涨交易额占比 过去40日上涨时的交易额之和与指数过去40天总交易额之比	华福证券				
兼备	市场类	量价	12日收盘价格回归系数差值	国金证券				
兼备	基本面类	毛利率	毛利率分位数之差	中金点睛				
兼备	宏观经济类	美债收益率	美债收益率	中金点睛	中信建投			
兼备	宏观经济类	美债收益率	十年到期国债收益率 美国	国泰君安				
兼备	资金类	南向资金	南向持仓偏好差	中金点睛				
兼备	资金类	南向资金	南向净流入之差	中金点睛				
兼备	宏观经济类	期限利差	期限利差 10年期国债收益率-1年期国债收益率	华福证券	国联期货	招证资配	中信建投	
兼备	宏观经济类	社融	商业银行资产增速-社融同比	中银国际				
兼备	宏观经济类	社融	社融 一致预期	国泰君安				
兼备	宏观经济类	社融	社融存量 当月同比	中银国际	长江证券			
兼备	宏观经济类	失业率	失业率 美国	国泰君安				
兼备	市场类	收益率	风格价差					
兼备	市场类	收益率	收益差值 20交易日	国金证券				
兼备	市场类	收益率	收益差值 40交易日	华福证券				
兼备	市场类	收益率	收益分化程度 40交易日收益标准差之差	华福证券				
兼备	宏观经济类	投资	对外承包工程新签合同额同比	长江证券				
兼备	宏观经济类	外汇	银行售汇	长江证券				
兼备	宏观经济类	消费	彩票销售额月比	长江证券				
兼备	宏观经济类	消费	社会消费品零售总额_城镇	长江证券				
兼备	宏观经济类	消费	社会消费品零售总额_商品零售	长江证券				
大盘-小盘	宏观经济类	消费	社会消费品零售总额_餐饮收入	长江证券				
兼备	宏观经济类	消费者信心	消费者预期指数	长江证券				
兼备	宏观经济类	信用利差	美国信用利差	中金点睛				
兼备	宏观经济类	信用利差	信用利差 五年期国债收益率 - 五年中短期票据到期收益率	华福证券	国联期货			
兼备	基本面类	盈利预测	分析师盈收预测变化趋势差值	国金证券				
大盘-小盘	基本面类	营业成本	主营业务成本累积同比	长江证券				
兼备	基本面类	营运能力	应收账款周转天数差值	国金证券				
兼备	市场类	拥挤度	交易拥挤度	天风金工				
兼备	宏观经济类	滞销指标	滞销指标 一致预期	国泰君安				
兼备	基本面类	资本结构	归母所有者权益/全部资本差值	国金证券				
兼备	资金类	资金流向	外资基金资金流向（EPFR数据库）					
兼备	资金类	资金流向	A股账户新开数量	华福证券				
兼备	资金类	资金流向	基金流入占比均值差					
兼备	资金类	资金流向	偏股基金/股票型基金新发份额和过去三个月均值的差值（夏普比率0.3）	华福证券	兴业证券			
兼备	资金类	资金流向	投资A股的海外ETF资金流					
兼备	市场类	资金流向	偏股基金在风格上的近似配置比两年滚动分位数，季度调仓	华创证券				
兼备	市场类	资金流向	基金各季度重仓股在风格板块上的相对配置比、超/低配比例环比变动幅度排名	中银国际				
大盘-小盘	宏观经济类	PMI	PMI类指标季度均值和上季度均值的差分	国泰海通				
大盘-小盘	宏观经济类	PMI	PMI生产季度均值和上季度均值的差分	国泰海通				
大盘-小盘	宏观经济类	PMI	PMI新订单季度均值和上季度均值的差分	国泰海通				
大盘-小盘	宏观经济类	社融	社融季度均值同比变化	国泰海通				
大盘-小盘	宏观经济类	社融	季末社融当月值加权均值同比（当季前两月加权均值和去年同季前两月加权均值相比）	国泰海通				
大盘-小盘	宏观经济类	期限利差	近一季期限利差月末均值和过去两季期限利差月末均值的差（10年期国债到期收益率-1年期国债到期收益率）	国泰海通				
大盘-小盘	宏观经济类	中美利差	近一季中美利差均值减过去两季均值（十年期/一年期中债国债收益率与美债收益率的差值）	国泰海通				
大盘-小盘	市场类	量价	风格间过去1月动量差（风格历史1个月涨跌幅之差）	国泰海通	广发证券			
大盘-小盘	市场类	量价	风格间过去2月动量差	国泰海通				
大盘-小盘	市场类	量价	风格间过去1季动量差（大盘MA63-小盘MA63）	国泰海通				
大盘-小盘	宏观经济类	组合信号	PMI季均差分+期限利差季末值差分+中美利差均值变化的加总信号	国泰海通				
大盘-小盘	市场类	量价	风格间相对强弱指数同时位于多重均线上方（大小盘相对强弱指数多重均线的相互关系）	西南证券	国泰海通			
大盘-小盘	市场类	波动率	风格间波动率比的当季均值和前一季均值的差	国泰海通				
大盘-小盘	市场类	波动率	偏股基金指数与全市场指数波动率比（广义大盘拥挤度：wind偏股基金指数VOL63/wind全A指数VOL63）	国泰海通				
大盘-小盘	宏观经济类	期限利差	期限利差5日均线上穿250日均线（胜率58.91%，超额年化收益13.16%）（10年期国开债/其他期限利差均适用）	国泰海通				
大盘-小盘	宏观经济类	组合信号	M2同比增速和M1-M2剪刀差的组合信号	西南证券				
大盘-小盘	宏观经济类	信用利差	信用利差（5年期AA级中短期票据收益率-5年期国开债收益率）5日均线下穿250日均线（胜率60.47%，超额年化收益7.56%）	国泰海通				
大盘-小盘	宏观经济类	信用利差	信用利差（5年期AA级中短期票据收益率-5年期国开债收益率）5日均线下穿120日均线（胜率60.47%，超额年化收益7.56%）	国泰海通				
大盘-小盘	估值类	PB	风格PB相对全市场PB的差值	国泰海通				
大盘-小盘	估值类	PB	风格PB相对全市场PB差值的滚动3年分位数（80%/20%分位）（沪深300/中证2000整体法PB估值）	国泰海通				
大盘-小盘	基本面类	盈利预测	风格间分析师预期边际增量差	国泰海通				
兼备	市场类	日期	日历效应（大盘：1、4、12月；小盘：2、3、5、8[、11]月）	国泰海通				
大盘-小盘	市场类	拥挤度	宏观调整风格拥挤度季均差分（大盘VOL63/小盘VOL63）	国泰海通				
大盘-小盘	宏观经济类	M2	M2，短期均线为原始值，长期均线为12月	国泰海通				
大盘-小盘	宏观经济类	M1/M2	M1-M2剪刀差，短期均线为原始值，长期均线为12月	国泰海通				
大盘-小盘	基本面类	盈利预测	分析师预测净利润FY3的120日变动=分析师预测净利润FY3除以120日前的分析师预测净利润FY3-1	国泰海通				
大盘-小盘	基本面类	盈利预测	分析师预测ROE-FY3=过去90日分析师预测的净利润FY3除以净资产	国泰海通				
大盘-小盘	基本面类	盈利预测	过去90日分析师上下调比例=过去90日分析师报告上调净利润比例-分析师报告下调净利润比例	国泰海通				
大盘-小盘	基本面类	盈利能力	净利润增速（按年度净利润增速分10组，多空组合）	广发证券				
大盘-小盘	市场类	资金流向	个股的大单买入占比，成分股加权到指数层面，原始值和月度变化等权合成新因子	国泰海通				
大盘-小盘	基本面类	市场情绪	新兴产业研发支出	广发证券				
大盘-小盘	宏观经济类	组合信号	外资流入压力因子 = 中国主权CDS利差、美元兑人民币离岸汇率、中美利差等权合成指标滚动3年z-score标准化后等权合成的新因子，短期均线为5日，长期均线为250日	国泰海通				
大盘-小盘	资金类	资金流向	跟踪风格的ETF份额滚动20日变化之差，短期均线为5日，长期均线为120日	国泰海通				
大盘-小盘	资金类	资金流向	风格之间的融资买入占比之差，短期均线为1日，长期均线为60日	国泰海通				
大盘-小盘	市场类	换手率	全市场换手率，短期均线为5日，长期均线为250日	国泰海通				
大盘-小盘	市场类	量价	全市场创3月新高个股成交额占比 - 创3月新低个股成交额占比，短期均线为5日，长期均线为250日	国泰海通				
大盘-小盘	市场类	量价	沪深300指数与中证2000指数成交额标准差之比与20日、40日均线的关系（短期为当日，长期为20/40日）	西南证券				
大盘-小盘	市场类	量价	全市场位于月度均线上方的个股占比，短期均线为5日，长期均线为250日	国泰海通				
大盘-小盘	市场类	量价	全市场处于超买状态个股占比-处于超卖状态个股占比之差，短期均线为5日，长期均线为250日	国泰海通				
